subway_name,station_name,elevator,escalator,horizontal_walker,wheelchair_lift,Movable_safety_footrest,electric_wheelchair_rapid_charger,Disabled_toilets,voice_guides,sign_language_video_cellphone
7,숭실대입구,4,12,0,0,0,0,1,20,0
7,상도,3,11,0,0,0,0,1,18,0
7,장승배기,3,14,0,0,1,0,1,20,0
7,신대방삼거리,4,12,0,0,0,0,1,22,0
7,보라매,2,4,0,0,0,0,1,13,0
7,신풍,4,4,0,0,1,1,1,22,0
7,대림,3,13,0,1,0,1,1,18,0
7,남구로,0,12,0,11,1,0,1,28,0
7,가산디지털단지,4,12,0,4,1,0,1,22,1
7,철산,4,6,0,0,1,0,1,18,0
7,광명사거리,2,2,0,1,0,1,1,20,0
7,천왕,4,6,0,0,1,1,1,21,0
7,온수,3,16,2,5,0,1,1,18,0
8,암사,3,4,0,0,0,0,0,13,0
8,천호,2,0,0,0,0,1,1,20,0
8,강동구청,3,5,0,0,0,1,1,16,0
8,몽촌토성,4,8,0,0,1,1,1,19,0
8,잠실,3,5,0,4,1,1,1,28,1
8,석촌,3,0,0,0,0,1,1,20,0
8,송파,4,4,0,0,0,0,1,14,0
8,가락시장,6,12,0,0,0,0,1,26,1
8,문정,4,8,0,0,0,0,1,15,0
8,장지,4,6,0,0,0,1,1,19,0
8,복정,1,3,0,1,0,1,1,14,0
8,남위례,3,7,0,0,0,1,1,33,0
8,산성,4,13,0,0,1,1,1,13,0
8,남한산성입구,2,4,0,0,0,1,1,17,0
8,단대오거리,3,6,0,0,1,1,1,25,0
8,신흥,2,0,0,0,0,1,1,13,0
8,수진,3,0,0,0,0,1,1,13,0
8,모란,3,2,0,2,2,1,0,19,0
9,언주,4,28,0,0,0,0,1,42,0
9,선정릉,4,12,0,0,0,0,0,27,0
9,삼성중앙,4,22,0,0,1,0,1,35,0
9,봉은사,4,24,0,0,0,0,1,35,0
9,종합운동장,6,18,0,0,0,1,2,35,0
9,삼전,4,16,0,0,0,0,1,29,0
9,석촌고분,5,6,0,0,0,0,1,26,0
9,석촌,5,25,0,0,0,0,2,57,0
9,송파나루,5,6,0,0,0,0,1,28,0
9,한성백제,3,12,0,0,0,0,1,23,0
9,올림픽공원,3,14,0,0,0,0,2,34,0
9,둔촌오륜,3,8,0,0,0,0,1,19,0
9,중앙보훈병원,5,10,0,0,0,0,1,31,0
